dates,DOY,YEAR,DAY,TIME,TC,SHADE,SOLAR,DEP,ACT,TA,TSUB,TSKY,VEL,RELHUM,ZEN,DAYLENGTH,ABSAN,PTCOND,POSTURE,PANT,O2_ml,H2OResp_g,H2OCut_g
07/01/69 0:00,182,1,1,0,7.379867606,0,0,0,2,8.113128737,10.44547156,-4.421170161,0.239099966,58.62861805,90,10.3433164,0.85,0.1,0,1,0.330348197,0,0.000846286
07/01/69 1:00,182,1,1,1,5.34359973,0,0,0,2,6.089345335,6.9129023,-5.079668093,0.242751705,63.30072923,90,10.3433164,0.85,0.1,0,1,0.330348197,0,0.000645006
07/01/69 2:00,182,1,1,2,4.671854305,0,0,0,2,5.434011527,6.10289304,-5.773935043,0.236322314,64.96474492,90,10.3433164,0.85,0.1,0,1,0.330348197,0,0.000576092
07/01/69 3:00,182,1,1,3,4.214491438,0,0,0,2,5.014263312,5.683020635,-6.414311306,0.212945903,67.73905943,90,10.3433164,0.85,0.1,0,1,0.330348197,0,0.000483577
07/01/69 4:00,182,1,1,4,4.146739251,0,0,0,2,4.998974978,5.840752848,-6.877411993,0.184986631,69.93262787,90,10.3433164,0.85,0.1,0,1,0.330348197,0,0.000415637
07/01/69 5:00,182,1,1,5,4.047221434,0,0,0,2,4.98990118,5.687386013,-7.024694506,0.14310798,72.4771253,90,10.3433164,0.85,0.1,0,1,0.330348197,0,0.000331071
07/01/69 6:00,182,1,1,6,9.551814202,0,55.20921823,0,2,9.678260261,9.465649261,-1.677262895,0.083933543,54.00761026,84.23841982,10.3433164,0.85,0.1,0,1,0.330348197,0,0.000712469
07/01/69 7:00,182,1,1,7,19.06038929,0,215.8692335,0,2,15.9070485,17.86366455,-0.077657346,0.02015188,36.30692876,73.07962483,10.3433164,0.85,0.1,0,1,0.330348197,0,0.001780599
07/01/69 8:00,182,1,1,8,27.34970187,0,410.5502523,0,2,21.61223475,25.93024403,2.843130201,0.069464963,25.44966891,63.27006825,10.3433164,0.85,0.1,0,1,0.330348197,0,0.004704295
07/01/69 9:00,182,1,1,9,33.11004161,0,596.3932748,0,2,25.61624499,30.91313595,6.721631297,0.138976904,20.01968044,55.54208613,10.3433164,0.85,0.1,0,1,0.330348197,0,0.008605392
07/01/69 10:00,182,1,1,10,36.96213179,0,697.3933493,0,2,28.91812535,34.45319026,10.64525009,0.202468336,16.66453428,50.86265599,10.3433164,0.85,0.1,0,1,0.330348197,0,0.012407244
07/01/69 11:00,182,1,1,11,42.4624937,0,706.4726277,0,2,34.77539373,43.81803111,13.75315971,0.251207882,12.29312288,50.09830534,10.3433164,0.85,0.1,0,1,0.330348197,0,0.018390876
07/01/69 12:00,182,1,1,12,43.85927146,0,654.0666528,0,2,36.92034002,47.08600298,15.70811223,0.276711898,11.50629876,53.41804887,10.3433164,0.85,0.1,0,1,0.330348197,0,0.020426829
07/01/69 13:00,182,1,1,13,41.46800474,0,544.186329,0,2,35.69795299,44.73921659,16.28431989,0.273315317,13.28724554,60.14669125,10.3433164,0.85,0.1,0,1,0.330348197,0,0.017462049
07/01/69 14:00,182,1,1,14,36.33515847,0,384.6688784,0,2,32.23492908,39.05035407,15.47187616,0.2465796,17.60924277,69.29286207,10.3433164,0.85,0.1,0,1,0.330348197,0,0.011970049
