dates,DOY,YEAR,DAY,TIME,TC,SHADE,SOLAR,DEP,ACT,TA,TSUB,TSKY,VEL,RELHUM,ZEN,DAYLENGTH,ABSAN,PTCOND,POSTURE,PANT,O2_ml,H2OResp_g,H2OCut_g
01/01/69 0:00,1,1,1,0,27.06035179,0,0,-2.5,0,26.96317756,26.96317756,26.96317756,0.01,99.58759494,90,13.65744365,0.85,0.001,0,1,0.581778571,-1.53E-05,2.13E-05
01/01/69 1:00,1,1,1,1,23.49632442,0,0,-2.5,0,23.42368052,23.42368052,23.42368052,0.01,99.62207074,90,13.65744365,0.85,0.001,0,1,0.425916712,-9.51E-06,1.43E-05
01/01/69 2:00,1,1,1,2,23.19131521,0,0,-2.5,0,23.12043751,23.12043751,23.12043751,0.01,99.65765932,90,13.65744365,0.85,0.001,0,1,0.414700282,-9.22E-06,1.31E-05
01/01/69 3:00,1,1,1,3,23.06073579,0,0,-2.5,0,22.99059177,22.99059177,22.99059177,0.01,99.69084014,90,13.65744365,0.85,0.001,0,1,0.409989102,-9.14E-06,1.23E-05
01/01/69 4:00,1,1,1,4,24.26538019,0,11.49831171,0,1,21.05591644,18.30092021,14.34094464,0.229861013,36.71844323,88.19780369,13.65744365,0.85,0.001,0,1,0.455563373,0.000222279,0.004688015
01/01/69 5:00,1,1,1,5,28.81513913,0,139.2669977,0,1,23.98033521,23.0254429,14.89537412,0.345292857,35.35028974,75.78077437,13.65744365,0.85,0.001,0,1,0.678327837,0.000462297,0.007669412
01/01/69 6:00,1,1,1,6,34.08997901,0,304.3409689,0,2,28.54722415,31.12912509,15.81884282,0.446176573,29.8032257,62.92471919,13.65744365,0.85,0.001,0,1,1.076176625,0.001076865,0.012278306
01/01/69 7:00,1,1,1,7,34.68916259,30,244.8553246,0,2,31.88842002,33.19421736,19.47787478,0.527812071,26.10325095,49.77773059,13.65744365,0.85,0.001,0,1,1.134103083,0.001167746,0.013244821
01/01/69 8:00,1,1,1,8,34.84515894,54,149.0026196,0,2,33.91762883,32.45900304,23.53359016,0.632537652,23.9654987,36.44522121,13.65744365,0.85,0.001,0,1,1.149689043,0.001187971,0.013953548
01/01/69 9:00,1,1,1,9,34.63421394,78,42.775217,0,2,35.05209197,29.40697475,28.11144505,0.674708808,22.66096338,23.0212724,13.65744365,0.85,0.001,0,1,1.128663505,0.001145188,0.013960344
01/01/69 10:00,1,1,1,10,35.6169057,90,10.01169456,0,2,36.40813534,28.30968893,31.62731082,0.644783508,20.87264403,9.715656054,13.65744365,0.85,0.001,0,1,1.230004695,0.001347521,0.014934133
01/01/69 11:00,1,1,1,11,37.54052189,90,10.38240355,0,2,38.35273548,30.19806916,33.57093977,0.638671962,18.480935,5.210178458,13.65744365,0.85,0.001,0,1,1.455473104,0.001844211,0.017033891
01/01/69 12:00,1,1,1,12,40.83599984,0,0,-5,0,40.58937952,40.58937952,40.58937952,0.01,99.95302741,18.14038081,13.65744365,0.85,0.001,0,1,1.941924525,-8.00E-05,5.78E-05
01/01/69 13:00,1,1,1,13,36.03030087,0,0,-10,0,35.82757669,35.82757669,35.82757669,0.01,99.97163441,31.56489835,13.65744365,0.85,0.001,0,1,1.27531006,-5.35E-05,3.71E-05
01/01/69 14:00,1,1,1,14,37.23477472,0,0,-10,0,37.01113095,37.01113095,37.01113095,0.01,99.97152842,44.94238211,13.65744365,0.85,0.001,0,1,1.417052016,-6.12E-05,4.34E-05
01/01/69 15:00,1,1,1,15,36.80523641,90,4.906555509,0,2,37.84451411,28.77726237,33.31551829,0.380033066,18.02161779,58.16770786,13.65744365,0.85,0.001,0,1,1.364782158,0.001660487,0.013089732
01/01/69 16:00,1,1,1,16,34.88548197,90,2.794181476,0,2,36.02149889,26.38595215,31.54781559,0.316465622,19.7986949,71.14391597,13.65744365,0.85,0.001,0,1,1.153752533,0.001221166,0.01067553
01/01/69 17:00,1,1,1,17,34.98053639,57,15.5603093,0,2,34.57253924,28.80134866,27.74066053,0.284836681,21.37625774,83.74182999,13.65744365,0.85,0.001,0,1,1.163388417,0.001241193,0.009769884
01/01/69 18:00,1,1,1,18,37.28542795,0,0,-2.5,0,37.03679466,37.03679466,37.03679466,0.01,99.91819449,90,13.65744365,0.85,0.001,0,1,1.423346424,-6.35E-05,5.12E-05
01/01/69 19:00,1,1,1,19,34.28964243,0,0,-2.5,0,34.11381887,34.11381887,34.11381887,0.01,99.92224372,90,13.65744365,0.85,0.001,0,1,1.095142832,-4.29E-05,3.16E-05
01/01/69 20:00,1,1,1,20,32.20714522,0,0,-2.5,0,32.05881015,32.05881015,32.05881015,0.01,99.92596378,90,13.65744365,0.85,0.001,0,1,0.912716436,-3.33E-05,2.41E-05
01/01/69 21:00,1,1,1,21,30.57497904,0,0,-2.5,0,30.44515739,30.44515739,30.44515739,0.01,99.92919538,90,13.65744365,0.85,0.001,0,1,0.791249696,-2.71E-05,1.95E-05
01/01/69 22:00,1,1,1,22,29.26660382,0,0,-2.5,0,29.14994391,29.14994391,29.14994391,0.01,99.93194023,90,13.65744365,0.85,0.001,0,1,0.705659671,-2.29E-05,1.64E-05
01/01/69 23:00,1,1,1,23,28.1754105,0,0,-2.5,0,28.06870515,28.06870515,28.06870515,0.01,99.93422878,90,13.65744365,0.85,0.001,0,1,0.641401471,-1.98E-05,1.42E-05
01/02/69 0:00,2,1,2,0,27.20248521,0,0,-2.5,0,27.10393681,27.10393681,27.10393681,0.01,99.93781499,90,13.65716445,0.85,0.001,0,1,0.589058993,-1.74E-05,1.25E-05
01/02/69 1:00,2,1,2,1,26.27021628,0,0,-2.5,0,26.17889886,26.17889886,26.17889886,0.01,99.93901214,90,13.65716445,0.85,0.001,0,1,0.542915913,-1.54E-05,1.11E-05
01/02/69 2:00,2,1,2,2,25.23293984,0,0,-2.5,0,25.1490193,25.1490193,25.1490193,0.01,99.93992579,90,13.65716445,0.85,0.001,0,1,0.495810896,-1.33E-05,9.68E-06
01/02/69 3:00,2,1,2,3,24.22032277,0,0,-2.5,0,24.14308586,24.14308586,24.14308586,0.01,99.94063266,90,13.65716445,0.85,0.001,0,1,0.453770875,-1.16E-05,8.49E-06
01/02/69 4:00,2,1,2,4,25.51625262,0,10.54389833,0,1,22.69098797,19.22134186,17.06782936,0.305238077,42.43192971,88.28668914,13.65716445,0.85,0.001,0,1,0.508255342,0.000245876,0.005148862
01/02/69 5:00,2,1,2,5,28.80074684,0,138.5213557,0,1,24.04106558,20.92234811,17.14481596,0.361782829,39.00922572,75.87367713,13.65716445,0.85,0.001,0,1,0.677474156,0.000442751,0.007489945
01/02/69 6:00,2,1,2,6,31.9301611,0,306.5308175,0,2,26.22148086,23.83012772,17.59823343,0.409642615,34.12618886,63.02030157,13.65716445,0.85,0.001,0,1,0.890862083,0.000754673,0.010140286
01/02/69 7:00,2,1,2,7,33.70005978,0,507.6312101,0,2,29.25965571,28.01069595,18.49226292,0.44462654,28.42675637,49.8750824,13.65716445,0.85,0.001,2,1,1.04007971,0.001012209,0.01186075
