ClimNo,StasName,Latitude,Longitude,Date,Rain.mm,Tmax,Tmin,Numb
317474.1,UPINGTON.WK,-28.4,21.27, 1/1/70,0,32.7,21.3,366
317474.1,UPINGTON.WK,-28.4,21.27, 1/2/70,0,32.3,14.6,367
317474.1,UPINGTON.WK,-28.4,21.27, 1/3/70,0,38.7,14,368
317474.1,UPINGTON.WK,-28.4,21.27, 1/4/70,0,32.5,20.5,369
317474.1,UPINGTON.WK,-28.4,21.27, 1/5/70,0,35,14.4,370
317474.1,UPINGTON.WK,-28.4,21.27, 1/6/70,0,39.7,15.9,371
317474.1,UPINGTON.WK,-28.4,21.27, 1/7/70,0,40.4,23.1,372
317474.1,UPINGTON.WK,-28.4,21.27, 1/8/70,0,39.4,23.1,373
317474.1,UPINGTON.WK,-28.4,21.27, 1/9/70,0,40.3,20,374
317474.1,UPINGTON.WK,-28.4,21.27, 1/10/70,0,38.7,19.4,375
317474.1,UPINGTON.WK,-28.4,21.27, 1/11/70,0,32.4,16.5,376
317474.1,UPINGTON.WK,-28.4,21.27, 1/12/70,0,32.3,15,377
317474.1,UPINGTON.WK,-28.4,21.27, 1/13/70,0,36.1,15.8,378
317474.1,UPINGTON.WK,-28.4,21.27, 1/14/70,0,35.3,19.5,379
317474.1,UPINGTON.WK,-28.4,21.27, 1/15/70,0,34.2,15.9,380
317474.1,UPINGTON.WK,-28.4,21.27, 1/16/70,0,34.1,19.8,381
317474.1,UPINGTON.WK,-28.4,21.27, 1/17/70,0.3,36.7,19.7,382
317474.1,UPINGTON.WK,-28.4,21.27, 1/18/70,0,35.5,19.1,383
317474.1,UPINGTON.WK,-28.4,21.27, 1/19/70,0,36.5,17,384
317474.1,UPINGTON.WK,-28.4,21.27, 1/20/70,0,40.2,18.6,385
317474.1,UPINGTON.WK,-28.4,21.27, 1/21/70,0.3,39.4,26.4,386
317474.1,UPINGTON.WK,-28.4,21.27, 1/22/70,17.2,38.1,26,387
317474.1,UPINGTON.WK,-28.4,21.27, 1/23/70,0,38.9,21.9,388
317474.1,UPINGTON.WK,-28.4,21.27, 1/24/70,1.8,37.4,21.5,389
317474.1,UPINGTON.WK,-28.4,21.27, 1/25/70,0,37,21.1,390
317474.1,UPINGTON.WK,-28.4,21.27, 1/26/70,0,35.2,18.5,391
317474.1,UPINGTON.WK,-28.4,21.27, 1/27/70,0,36.3,18.8,392
317474.1,UPINGTON.WK,-28.4,21.27, 1/28/70,0,37,19.7,393
317474.1,UPINGTON.WK,-28.4,21.27, 1/29/70,0,38,20.7,394
317474.1,UPINGTON.WK,-28.4,21.27, 1/30/70,0,38.8,22.9,395
317474.1,UPINGTON.WK,-28.4,21.27, 1/31/70,0,37.6,25.3,396
317474.1,UPINGTON.WK,-28.4,21.27, 2/1/70,4.5,37.6,21.2,397
317474.1,UPINGTON.WK,-28.4,21.27, 2/2/70,0,35.3,21.2,398
317474.1,UPINGTON.WK,-28.4,21.27, 2/3/70,27.3,33,22.4,399
317474.1,UPINGTON.WK,-28.4,21.27, 2/4/70,3.9,30.6,19,400
317474.1,UPINGTON.WK,-28.4,21.27, 2/5/70,0.3,31.7,18.8,401
317474.1,UPINGTON.WK,-28.4,21.27, 2/6/70,0,30.1,21,402
317474.1,UPINGTON.WK,-28.4,21.27, 2/7/70,0,29.7,17.1,403
317474.1,UPINGTON.WK,-28.4,21.27, 2/8/70,0,33.2,18.4,404
317474.1,UPINGTON.WK,-28.4,21.27, 2/9/70,0,36.6,18.8,405
317474.1,UPINGTON.WK,-28.4,21.27, 2/10/70,0,36,20.4,406
317474.1,UPINGTON.WK,-28.4,21.27, 2/11/70,0,37.5,20.2,407
317474.1,UPINGTON.WK,-28.4,21.27, 2/12/70,0,28.6,20.8,408
317474.1,UPINGTON.WK,-28.4,21.27, 2/13/70,0,38.4,20.3,409
317474.1,UPINGTON.WK,-28.4,21.27, 2/14/70,0,36.8,20.6,410
317474.1,UPINGTON.WK,-28.4,21.27, 2/15/70,0,32.8,18.4,411
317474.1,UPINGTON.WK,-28.4,21.27, 2/16/70,0,34.8,18.6,412
317474.1,UPINGTON.WK,-28.4,21.27, 2/17/70,0,36.6,23.5,413
317474.1,UPINGTON.WK,-28.4,21.27, 2/18/70,3.1,37.2,22.3,414
317474.1,UPINGTON.WK,-28.4,21.27, 2/19/70,0,34.8,16.3,415
317474.1,UPINGTON.WK,-28.4,21.27, 2/20/70,0,39,18,416
317474.1,UPINGTON.WK,-28.4,21.27, 2/21/70,0,39.4,23.7,417
317474.1,UPINGTON.WK,-28.4,21.27, 2/22/70,0,38.9,25.6,418
317474.1,UPINGTON.WK,-28.4,21.27, 2/23/70,0,38.3,24,419
317474.1,UPINGTON.WK,-28.4,21.27, 2/24/70,0,33.4,18,420
317474.1,UPINGTON.WK,-28.4,21.27, 2/25/70,0,39.1,22.3,421
317474.1,UPINGTON.WK,-28.4,21.27, 2/26/70,0,38.6,22,422
317474.1,UPINGTON.WK,-28.4,21.27, 2/27/70,0,38.3,22.9,423
317474.1,UPINGTON.WK,-28.4,21.27, 2/28/70,0,40.9,25,424
317474.1,UPINGTON.WK,-28.4,21.27, 3/1/70,0,34.4,21.1,425
317474.1,UPINGTON.WK,-28.4,21.27, 3/2/70,0,34.6,17.1,426
317474.1,UPINGTON.WK,-28.4,21.27, 3/3/70,0,36.9,15.3,427
317474.1,UPINGTON.WK,-28.4,21.27, 3/4/70,0,32.6,15.4,428
317474.1,UPINGTON.WK,-28.4,21.27, 3/5/70,0,33.6,13.3,429
317474.1,UPINGTON.WK,-28.4,21.27, 3/6/70,0,34.1,15.2,430
317474.1,UPINGTON.WK,-28.4,21.27, 3/7/70,0,38.5,15.6,431
317474.1,UPINGTON.WK,-28.4,21.27, 3/8/70,0,36.2,18.5,432
317474.1,UPINGTON.WK,-28.4,21.27, 3/9/70,0,31.4,14.2,433
317474.1,UPINGTON.WK,-28.4,21.27, 3/10/70,0,32.9,13.1,434
317474.1,UPINGTON.WK,-28.4,21.27, 3/11/70,0,36.2,17.6,435
317474.1,UPINGTON.WK,-28.4,21.27, 3/12/70,0,35.8,20.1,436
